nameFirst,nameLast
Jim,Abbott
Kurt,Abbott
Kyle,Abbott
Paul,Abbott
Shawn,Abner
Johnny,Abrego
Mark,Acre
Manny,Acta
Steve,Adkins
Troy,Afenir
Rick,Aguilera
Pat,Ahearne
Darrel,Akerfelds
Gibson,Alba
Jose,Alberro
Scott,Aldred
Mike,Aldrete
Jay,Aldrich
Gerald,Alexander
Luis,Alicea
Andy,Allanson
Dana,Allison
Beau,Allred
Roberto,Alomar
Sandy,Alomar
Moises,Alou
Clemente,Alvarez
Rich,Amaral
Ruben,Amaro
Allan,Anderson
Brady,Anderson
Dave,Anderson
Kent,Anderson
Mike,Anderson
Scott,Anderson
Eric,Anthony
Kevin,Appier
Luis,Aquino
Alex,Arias
Marcos,Armas
Jack,Armstrong
Larry,Arndt
Scott,Arnold
Brad,Arnsberg
Rene,Arocha
Rolando,Arrojo
Randy,Asadoor
Andy,Ashby
Paul,Assenmacher
Pedro,Astacio
Don,August
Joe,Ausanio
Brad,Ausmus
Jim,Austin
Bobby,Ayala
Bob,Ayrault
Oscar,Azocar
Carlos,Baerga
Kevin,Baez
Jeff,Bagwell
Scott,Bailes
Mark,Bailey
Doug,Baker
Jeff,Baldwin
Jeff,Ball
Jeff,Ballard
Jay,Baller
Jeff,Banister
Scott,Bankhead
Willie,Banks
Bret,Barberie
John,Barfield
Brian,Bark
Brian,Barnes
Tim,Barrett
Tom,Barrett
Tony,Barron
Jeff,Barry
Shawn,Barton
Rich,Batchelor
Billy,Bates
Bill,Bathe
Kevin,Batiste
Kim,Batiste
Allen,Battle
Jose,Bautista
Bill,Bean
Billy,Beane
Kevin,Bearse
Chris,Beasley
Blaine,Beatty
Rod,Beck
Rick,Behenna
Kevin,Belcher
Tim,Belcher
Stan,Belinda
Derek,Bell
Eric,Bell
Jay,Bell
Juan,Bell
Mike,Bell
Terry,Bell
Albert,Belle
Rafael,Belliard
Clay,Bellinger
Rigo,Beltran
Esteban,Beltre
Freddie,Benavides
Andy,Benes
Mike,Benjamin
Erik,Bennett
Todd,Benzinger
Geronimo,Berroa
Sean,Berry
Damon,Berryhill
Jeff,Bettendorf
Buddy,Biancalana
Dante,Bichette
Steve,Bieser
Craig,Biggio
Mike,Birkbeck
Tim,Birtsas
Joe,Bitker
Jeff,Bittiger
Willie,Blair
Kevin,Blankenship
Lance,Blankenship
Jeff,Blauser
Mike,Blowers
Randy,Bockus
Brian,Boehringer
Joe,Boever
Tim,Bogar
Brian,Bohanon
