nameFirst,nameLast,awardID,yearID
Chad,Allen,,
Hector,Almonte,,
Rod,Barajas,,
Kevin,Barker,,
Brian,Barkley,,
Todd,Belitz,,
Ronnie,Belliard,,
Brandon,Berger,,
Rafael,Betancourt,,
Brent,Billingsley,,
Josh,Booty,,
Ryan,Bradley,,
Russell,Branyan,,
Roosevelt,Brown,,
Mark,Brownson,,
Justin,Brunette,,
Kiko,Calero,,
Mickey,Callaway,,
Eric,Cammack,,
Shawn,Camp,,
Javier,Cardona,,
Chris,Carpenter,Cy Young Award,2005.0
Chris,Carpenter,TSN Pitcher of the Year,2005.0
Chris,Carpenter,TSN Pitcher of the Year,2006.0
Scott,Cassidy,,
Alberto,Castillo,,
Carlos,Castillo,,
Luis,Castillo,Gold Glove,2003.0
Luis,Castillo,Gold Glove,2004.0
Luis,Castillo,Gold Glove,2005.0
Jim,Chamblee,,
Jason,Childers,,
Jin Ho,Cho,,
Randy,Choate,,
McKay,Christensen,,
Tim,Christman,,
Edgard,Clemente,,
Ken,Cloude,,
Michael,Coleman,,
Clay,Condrey,,
Jason,Conti,,
Alex,Cora,,
Francisco,Cordero,,
Jack,Cressend,,
Jeff,D'Amico,,
Doug,Davis,,
Kane,Davis,,
Mark,DeRosa,,
Edwin,Diaz,,
Joe,Dillon,,
Andy,Dominique,,
Kelly,Dransfeldt,,
J. D.,Drew,All-Star Game MVP,2008.0
J. D.,Drew,TSN All-Star,2004.0
Todd,Dunwoody,,
Trent,Durrington,,
David,Eckstein,Babe Ruth Award,2006.0
David,Eckstein,World Series MVP,2006.0
Dave,Elder,,
Mario,Encarnacion,,
Morgan,Ensberg,Silver Slugger,2005.0
Morgan,Ensberg,TSN All-Star,2005.0
Matt,Erickson,,
Horacio,Estrada,,
Leo,Estrella,,
Jeff,Farnsworth,,
Pedro,Feliz,,
Nate,Field,,
Jeremy,Fikac,,
Randy,Flores,,
Ben,Ford,,
Brian,Fuentes,,
Brad,Fullmer,,
Amaury,Garcia,,
Karim,Garcia,,
Luis,Garcia,,
Luis,Garcia,,
Lee,Gardner,,
Derrick,Gibson,,
Geronimo,Gil,,
Geremi,Gonzalez,,
Jason,Green,,
Seth,Greisinger,,
Vladimir,Guerrero,Most Valuable Player,2004.0
Vladimir,Guerrero,Silver Slugger,1999.0
Vladimir,Guerrero,Silver Slugger,2000.0
Vladimir,Guerrero,Silver Slugger,2002.0
Vladimir,Guerrero,Silver Slugger,2004.0
Vladimir,Guerrero,Silver Slugger,2005.0
Vladimir,Guerrero,Silver Slugger,2006.0
Vladimir,Guerrero,Silver Slugger,2007.0
Vladimir,Guerrero,Silver Slugger,2010.0
Vladimir,Guerrero,TSN All-Star,1999.0
Vladimir,Guerrero,TSN All-Star,2000.0
Vladimir,Guerrero,TSN All-Star,2002.0
Vladimir,Guerrero,TSN All-Star,2004.0
Vladimir,Guerrero,TSN All-Star,2005.0
Vladimir,Guerrero,TSN All-Star,2007.0
Carlos,Guillen,,
Domingo,Guzman,,
Toby,Hall,,
Felix,Heredia,,
Adrian,Hernandez,,
Carlos,Hernandez,,
Livan,Hernandez,NLCS MVP,1997.0
Livan,Hernandez,Silver Slugger,2004.0
Livan,Hernandez,World Series MVP,1997.0
Richard,Hidalgo,,
Shea,Hillenbrand,,
Tim,Hudson,Comeback Player of the Year,2010.0
Tim,Hudson,Hutch Award,2010.0
Torii,Hunter,Branch Rickey Award,2009.0
Torii,Hunter,Gold Glove,2001.0
Torii,Hunter,Gold Glove,2002.0
Torii,Hunter,Gold Glove,2003.0
Torii,Hunter,Gold Glove,2004.0
Torii,Hunter,Gold Glove,2005.0
