W,L,yearID,nameGiven,NameLast,teamID
116,36,1906,Frank Leroy,Chance,CHN
116,46,2001,Louis Victor,Piniella,SEA
114,48,1998,Joseph Paul,Torre,NYA
111,43,1954,Alfonso Ramon,Lopez,CLE
110,42,1909,Fred Clifford,Clarke,PIT
110,44,1927,Miller James,Huggins,NYA
109,53,1961,Ralph George,Houk,NYA
109,53,1969,Earl Sidney,Weaver,BAL
108,54,1970,Earl Sidney,Weaver,BAL
108,54,1975,George Lee,Anderson,CIN
108,54,1986,David Allen,Johnson,NYN
107,45,1907,Frank Leroy,Chance,CHN
107,45,1931,Cornelius Alexander,Mack,PHA
107,47,1932,Joseph Vincent,McCarthy,NYA
106,45,1939,Joseph Vincent,McCarthy,NYA
106,47,1904,John Joseph,McGraw,NY1
106,48,1942,William Harold,Southworth,SLN
106,56,1998,Robert Joe,Cox,ATL
105,47,1912,Garland,Stahl,BOS
105,48,1905,John Joseph,McGraw,NY1
105,49,1943,William Harold,Southworth,SLN
105,49,1944,William Harold,Southworth,SLN
105,49,1953,Charles Walter,Dressen,BRO
105,57,2004,Anthony,LaRussa,SLN
104,46,1929,Cornelius Alexander,Mack,PHA
104,49,1909,Frank Leroy,Chance,CHN
104,50,1910,Frank Leroy,Chance,CHN
104,50,1942,Leo Ernest,Durocher,BRO
104,50,1946,Joseph Edward,Cronin,BOS
104,57,1963,Ralph George,Houk,NYA
104,58,1984,George Lee,Anderson,DET
104,58,1988,Anthony,LaRussa,OAK
104,58,1993,Robert Joe,Cox,ATL
103,48,1912,John Joseph,McGraw,NY1
103,51,1942,Joseph Vincent,McCarthy,NYA
103,51,1954,Charles Dillon,Stengel,NYA
103,58,2002,Joseph Paul,Torre,NYA
103,58,2016,Joseph John,Maddon,CHN
103,59,1968,Edward Mayo,Smith,DET
103,59,1980,Richard Dalton,Howser,NYA
103,59,1990,Anthony,LaRussa,OAK
103,59,1993,Johnnie B.,Baker,SFN
103,59,1999,Robert Joe,Cox,ATL
103,59,2002,Arthur Henry,Howe,OAK
103,59,2009,Joseph Elliott,Girardi,NYA
103,62,1962,Alvin Ralph,Dark,SFN
102,47,1898,Frank Gibson,Selee,BSN
102,48,1892,Frank Gibson,Selee,BSN
102,48,1910,Cornelius Alexander,Mack,PHA
102,51,1936,Joseph Vincent,McCarthy,NYA
102,52,1930,Cornelius Alexander,Mack,PHA
102,52,1937,Joseph Vincent,McCarthy,NYA
102,57,1979,Earl Sidney,Weaver,BAL
102,60,1965,Sabath Anthony,Mele,MIN
102,60,1970,George Lee,Anderson,CIN
102,60,1974,Walter Emmons,Alston,LAN
102,60,1976,George Lee,Anderson,CIN
102,60,1977,Dorrel Norman Elvert,Herzog,KCA
102,60,1998,Lawrence Edward,Dierker,HOU
102,60,2001,Arthur Henry,Howe,OAK
102,60,2011,Charles Fuqua,Manuel,PHI
102,63,1962,Walter Emmons,Alston,LAN
101,50,1911,Cornelius Alexander,Mack,PHA
101,50,1915,William Francis,Carrigan,BOS
101,51,1913,John Joseph,McGraw,NY1
101,53,1928,Miller James,Huggins,NYA
101,53,1931,Charles Evard,Street,SLN
101,53,1934,Gordon Stanley,Cochrane,DET
101,53,1941,Joseph Vincent,McCarthy,NYA
101,57,1971,Earl Sidney,Weaver,BAL
101,59,2002,Robert Joe,Cox,ATL
101,60,1967,Albert Fred,Schoendienst,SLN
101,60,1971,Richard Hirschfeld,Williams,OAK
101,61,1961,Robert Boden,Scheffing,DET
101,61,1976,Daniel Leonard,Ozark,PHI
101,61,1977,Daniel Leonard,Ozark,PHI
101,61,1985,Dorrel Norman Elvert,Herzog,SLN
101,61,1997,Robert Joe,Cox,ATL
101,61,2003,Robert Joe,Cox,ATL
101,61,2003,Joseph Paul,Torre,NYA
101,61,2004,Joseph Paul,Torre,NYA
100,53,1940,William Boyd,McKechnie,CIN
100,54,1915,Hugh Ambrose,Jennings,DET
100,54,1917,Clarence Henry,Rowland,CHA
100,54,1935,Charles John,Grimm,CHN
100,54,1941,Leo Ernest,Durocher,BRO
100,60,1988,David Allen,Johnson,NYN
100,61,2003,Felipe Rojas,Alou,SFN
100,62,1969,Gilbert Raymond,Hodges,NYN
100,62,1977,Alfred Manuel,Martin,NYA
100,62,1980,Earl Sidney,Weaver,BAL
100,62,1999,William Nathaniel,Showalter,ARI
100,62,2005,Anthony,LaRussa,SLN
100,62,2008,Michael Lorri,Scioscia,LAA
100,62,2015,Michael Scott,Matheny,SLN
99,52,1953,Charles Dillon,Stengel,NYA
99,53,1914,Cornelius Alexander,Mack,PHA
99,53,1933,Joseph Edward,Cronin,WS1
99,53,1938,Joseph Vincent,McCarthy,NYA
99,54,1911,John Joseph,McGraw,NY1
99,55,1908,Frank Leroy,Chance,CHN
99,62,1985,Robert Joe,Cox,TOR
99,62,1996,Dudley Michael,Hargrove,CLE
99,63,1963,Walter Emmons,Alston,LAN
99,63,1964,Lawrence Peter,Berra,NYA
99,63,1973,George Lee,Anderson,CIN
99,63,1983,Anthony,LaRussa,CHA
99,63,1989,Anthony,LaRussa,OAK
99,63,2002,Michael Lorri,Scioscia,ANA
99,63,2005,Oswaldo Jose,Guillen,CHA
99,64,1978,Donald William,Zimmer,BOS
98,54,1909,Hugh Ambrose,Jennings,DET
98,54,1923,Miller James,Huggins,NYA
98,54,1929,Joseph Vincent,McCarthy,CHN
