name,nameFirst,nameLast,HRs
Boston Braves,Ray,Powell,6
Boston Red Sox,Harry,Hooper,7
Brooklyn Robins,Zack,Wheat,9
Chicago Cubs,Dave,Robertson,10
Chicago White Sox,Happy,Felsch,14
Cincinnati Reds,Jake,Daubert,4
Cincinnati Reds,Edd,Roush,4
Cleveland Indians,Elmer,Smith,12
Detroit Tigers,Bobby,Veach,11
New York Giants,High Pockets,Kelly,11
New York Yankees,Babe,Ruth,54
Philadelphia Athletics,Tillie,Walker,17
Philadelphia Phillies,Cy,Williams,15
Pittsburgh Pirates,Carson,Bigbee,4
Pittsburgh Pirates,Fred,Nicholson,4
St. Louis Browns,George,Sisler,19
St. Louis Cardinals,Austin,McHenry,10
Washington Senators,Braggo,Roth,9
