nameFirst,nameLast,Age,teamName,NrRankR
Dick,McBride,24,Philadelphia Athletics,1
Fred,Dunlap,25,St. Louis Maroons,1
Charlie,Comiskey,26,St. Louis Browns,4
Al,Spalding,26,Chicago White Stockings,1
Joe,Cronin,27,Washington Senators,2
Cap,Anson,28,Chicago White Stockings,5
Bucky,Harris,28,Washington Senators,3
John,Morrill,28,Boston Beaneaters,1
Pop,Snyder,28,Cincinnati Red Stockings,1
Patsy,Tebeau,28,Cleveland Spiders,1
Fred,Clarke,29,Pittsburgh Pirates,4
Bill,Watkins,29,Detroit Wolverines,1
Frank,Chance,30,Chicago Cubs,4
Rogers,Hornsby,30,St. Louis Cardinals,2
Lon,Knight,30,Philadelphia Athletics,1
Lou,Boudreau,31,Cleveland Indians,1
Jack,Burdock,31,Boston Beaneaters,1
Mickey,Cochrane,31,Detroit Tigers,2
John,McGraw,31,New York Giants,11
Bill,Carrigan,32,Boston Red Sox,2
Clark,Griffith,32,Chicago White Sox,1
Frank,Selee,32,Boston Beaneaters,5
Tris,Speaker,32,Cleveland Indians,1
George,Wright,32,Providence Grays,1
Jimmy,Collins,33,Boston Americans,2
Arthur,Irwin,33,Boston Reds,1
King,Kelly,33,Boston Reds,1
Jim,Mutrie,33,New York Metropolitans,3
Jake,Stahl,33,Boston Red Sox,1
Ted,Sullivan,33,St. Louis Maroons,1
