nameFirst,nameLast,Age,teamName,NrRankR
Silver,Flint,24,Chicago White Stockings,1
John,Ward,24,New York Gothams,1
Lou,Boudreau,25,Cleveland Indians,5
Charlie,Comiskey,25,St. Louis Browns,3
John,Hatfield,26,New York Mutuals,1
Dick,McBride,26,Philadelphia Athletics,1
John,McGraw,26,Baltimore Orioles,3
Cap,Anson,27,Chicago White Stockings,2
Bill,Henderson,27,Baltimore Monumentals,1
John,Morrill,27,Boston Red Caps,2
John,Kelly,28,Louisville Colonels,1
Joe,Cronin,29,Boston Red Sox,2
Rogers,Hornsby,29,St. Louis Cardinals,1
Harry,Stovey,29,Philadelphia Athletics,1
Bill,Carrigan,30,Boston Red Sox,1
Bill,Craver,30,Philadelphia Whites,1
Bucky,Harris,30,Washington Senators,4
Al,Buckenberger,31,Pittsburgh Pirates,1
Red,Dooin,31,Philadelphia Phillies,2
Jim,Hart,31,Louisville Colonels,1
Joe,Kelley,31,Cincinnati Reds,2
George,McManus,31,St. Louis Brown Stockings,1
George,Sisler,31,St. Louis Browns,1
Joe,Start,31,New York Mutuals,1
Nick,Young,31,Washington Olympics,1
Fred,Clarke,32,Pittsburgh Pirates,2
Jim,Mutrie,32,New York Metropolitans,2
Bob,Ferguson,33,Chicago White Stockings,2
Clark,Griffith,33,Chicago White Sox,4
Nap,Lajoie,33,Cleveland Naps,1
George,Wood,33,Philadelphia Athletics,1
Dave,Bristol,34,Cincinnati Reds,4
Bibb,Falk,34,Cleveland Indians,1
Tommy,Holmes,34,Boston Braves,1
Tom,Loftus,34,Cincinnati Reds,1
Tris,Speaker,34,Cleveland Indians,1
Jake,Stahl,34,Boston Red Sox,1
Billy,Sullivan,34,Chicago White Sox,1
Bill,Armour,35,Cleveland Naps,1
Frank,Bancroft,35,Detroit Wolverines,4
Hugo,Bezdek,35,Pittsburgh Pirates,2
Tom,Burns,35,Pittsburgh Pirates,2
Mickey,Cochrane,35,Detroit Tigers,1
Jimmy,Collins,35,Boston Americans,1
Al,Pratt,35,Pittsburg Alleghenys,1
Eric,Wedge,35,Cleveland Indians,5
Roger,Bresnahan,36,Chicago Cubs,1
Donie,Bush,36,Washington Senators,2
Patsy,Donovan,36,St. Louis Cardinals,2
Arthur,Irwin,36,Philadelphia Phillies,1
Bill,Killefer,36,Chicago Cubs,1
Charlie,Morton,36,Toledo Maumees,1
Frank,Quilici,36,Minnesota Twins,1
Larry,Schlafly,36,Buffalo Buffeds,1
Bill,Sharsig,36,Philadelphia Athletics,1
Buck,Showalter,36,New York Yankees,2
Billy,Southworth,36,St. Louis Cardinals,5
Fred,Hutchinson,37,St. Louis Cardinals,1
Rene,Lachemann,37,Seattle Mariners,2
Nick,Leyva,37,Philadelphia Phillies,1
Christy,Mathewson,37,Cincinnati Reds,1
Jim,Price,37,New York Gothams,1
Frank,Selee,37,Boston Beaneaters,2
Pie,Traynor,37,Pittsburgh Pirates,2
Jimmy,Williams,37,St. Louis Browns,1
Manny,Acta,38,Washington Nationals,2
Billy,Barnie,38,Baltimore Orioles,1
Jimmy,Callahan,38,Chicago White Sox,1
Kevin,Cash,38,Tampa Bay Rays,1
Buck,Ewing,38,Cincinnati Reds,1
Gene,Mauch,38,Philadelphia Phillies,8
Mel,Ott,38,New York Giants,1
Gus,Schmelz,38,Cincinnati Red Stockings,2
George,Stovall,38,Kansas City Packers,1
Ty,Cobb,39,Detroit Tigers,1
Pat,Corrales,39,Texas Rangers,1
Bobby,Cox,39,Atlanta Braves,4
Hugh,Duffy,39,Philadelphia Phillies,3
Jim,Fregosi,39,California Angels,2
Gabby,Hartnett,39,Chicago Cubs,1
Connie,Mack,39,Philadelphia Athletics,3
Joe,McCarthy,39,Chicago Cubs,3
Dickey,Pearce,39,St. Louis Brown Stockings,1
Roger,Peckinpaugh,39,Cleveland Indians,4
Bobby,Valentine,39,Texas Rangers,3
Dick,Williams,39,Boston Red Sox,6
Bill,Donovan,40,New York Yankees,1
Jim,Essian,40,Chicago Cubs,1
Frankie,Frisch,40,St. Louis Cardinals,5
George,Gibson,40,Pittsburgh Pirates,1
Miller,Huggins,40,New York Yankees,1
